artist,title,year,country,format,label,discogs_low_price,copies_for_sale_on_discogs,status
Mess (29),Intercity,2020,Spain,"Vinyl, 12"", EP, Limited Edition Yellow, Mustard",Mendeku Diskak – -021-,60.00,2,Recently Edited
PlasticHeads,Nowhere To Run,2019,Canada,"Vinyl, 12"", 45 RPM, Mini-Album",Ugly Pop Records – UP070,39.99,1,
Schizos,Schizos,2020,US,"Vinyl, LP, 45 RPM",Sweet Time – ST-1201,13.00,4,Recently Edited
Conflict (2),The Serenade Is Dead,1995,UK & Europe,"Vinyl, 7"", 45 RPM, Reissue","Mortarhate Records – MORT 1, Mortarhate Records – Mort 1",8.00,9,New Submission
The Spits / Dan Melchior,The Spits / Dan Melchior,2009,US,"Vinyl, 7"", 45 RPM, Single, Promo","Scion Audio/Visual – SA/VG 01-09, Vice Records – none",10.99,5,Recently Edited
Personal & The Pizzas,Dead Meat Vs. Joanie,2011,US,"Vinyl, 7"", 45 RPM",Total Punk – TPR-01,14.95,4,New Submission
JJ-180,Talk Talk / Classroom,2012,US,"Vinyl, 7"", 45 RPM White",Alona's Dream Records – ADR - 7 - 005,9.46,3,New Submission
Pagans / The Hip Priests,Bad Bet / Scene Is A Crime,2017,Sweden,"Vinyl, 7"", Limited Edition Pink",Just 4 Fun – Fun-35,13.21,2,
Les Lullies,7am / Dog Food,2018,US,"Vinyl, 7"", 45 RPM, Single, Limited Edition Red vinyl",Slovenly Recordings – 702-215,,,New Submission
Nightmare Boyzzz,Up All Night,2013,US,"Vinyl, 7""",Fat Sandwich Records – none,12.84,2,Recently Edited
Screeching Weasel / Born Against,El Mozote / Janelle,1993,US,"Vinyl, 7""","Lookout! Records – Lookout 73, Lookout! Records – Number 73",9.99,15,
Swingin' Utters,"7/18/95 (Fireside Bowl - Chicago, IL)",1996,US,"Vinyl, 7"", EP, 33 ⅓ RPM",V. M. L. Records – V.M.LIVE-025,7.99,5,New Submission
Brain Bagz,God Hates Bagz,2017,US,"Vinyl, 7""",Sex Tape Records – STR0002,,,Recently Edited
BloodBags,Busted Chops,2017,New Zealand,"Vinyl, 7"", 33 ⅓ RPM, EP Red",Stink Magnetic – MAG 57,,,New Submission
Ed Nasty And The Dopeds,I'm Gonna Be Everything,2011,US,"Vinyl, 7"", Single, Reissue",Last Laugh Records (2) – HAW-009,4.23,7,New Submission
Electric Eels,Spin Age Blasters / Bunnies,2014,US,"Vinyl, 7"", 45 RPM, Single, Reissue",Superior Viaduct – SV060,6.15,21,Recently Edited
Cheap Time / Bad Sports,Proper Introductions (Running Nowhere) / Would You Wait For Me Too?,2010,US,"Vinyl, 7"", Single, Promo","Scion Audio/Visual – SA/V G 06-10, Vice Records – SA/V G 06-10",2.25,6,Recently Edited
The Cortinas,Defiant Pose / Independence,1977,UK,"Vinyl, 7"", 45 RPM, Single",Step-Forward Records – SF 6,9.45,21,Recently Edited
Epoxies*,(We're All) Synthesized,2002,US,"Vinyl, 7"", Single",Dirtnap Records – ZZZ-27,14.00,5,
Boss (41),Steel Box,2018,US,"Vinyl, 7"", 45 RPM, Single, Limited Edition",Goner Records – 159GONE,45.92,2,New Submission
The Urinals*,Another EP,2013,US,"Vinyl, 7"", 45 RPM, EP, Limited Edition, Reissue Blue",Superior Viaduct – SV022,34.95,3,
Undead*,It's Corruption / Undead,1982,UK,"Vinyl, 7"", 45 RPM, Single","Riot City Records – RIOT 7, Riot City Records – Riot 7",9.20,11,Recently Edited
Gundog / The Templars,Middle Of Nowhere / I Don't Need You,1999,UK,"Vinyl, 7"", 45 RPM, Limited Edition",New Blood Records – NEW BLOOD 04,22.99,4,New Submission
The Samples,Dead Hero,2018,Germany,"Vinyl, 7"", 45 RPM, EP, Reissue Yellow",Mad Butcher Classics – MBC 079,,,New Submission
The Mighty Jabronis,Put 'Em In A Headlock,2018,US,"Vinyl, 7"", 45 RPM",Uhhuh – UH001,3.00,2,New Submission
The Toxenes,Hot Rod,2018,Germany,"Vinyl, 7"", 33 ⅓ RPM, Single",Killjoy Records – Kill-026,10.86,10,New Submission
The Stiffs (3),The Stiffs,2018,Canada,"Vinyl, 7"", 33 ⅓ RPM, EP, Remastered",Supreme Echo – SE 15,35.21,1,New Submission
Various,White Man In Hammersmith Palais E.P.,2017,UK,"Vinyl, 7"", 33 ⅓ RPM, EP, Record Store Day, Compilation, Limited Edition",Greensleeves Records – VPGS9510,7.00,18,New Submission
Jacuzzi Boys (2),Island Ave.,2008,US,"Vinyl, 7"" Gold",HoZac Records – HZR-019,9.40,3,New Submission
Bad Sports,Nothin' To Do / Use My Brain,2011,US,"Vinyl, 7"", 45 RPM, Limited Edition",Nashville's Dead – NDR004,7.00,5,New Submission
The Deadbeats,Kill The Hippies,2016,Spain,"Vinyl, 7"", 45 RPM, Reissue","Munster Records – MR 7293, Dangerhouse – IQ-29",42.86,1,New Submission
The Scientists (2),The Scientists E.P.,2018,US,"Vinyl, 7"", 45 RPM, EP, Reissue",Numero Group – NUM715,,,New Submission
Isotopes,Nuclear Strikezone,2015,Canada,"Vinyl, LP, 45 RPM, Album Yellow Translucent",Stomp Records (2) – STMP117,77.24,1,New Submission
Kelley Stoltz / The Dirtbombs,Split Tour Single,2008,US,"Vinyl, 7""",Cass Records – MAMA-042,10.00,4,Recently Edited
Machines (3),True Life,2010,Japan,"Vinyl, 7"", 45 RPM, EP, Reissue Clear",1977 Records – 1977-S079,24.99,1,Recently Edited
Ruts*,Babylon's Burning,1979,UK,"Vinyl, 7"", 45 RPM, Single",Virgin – VS 271,1.34,81,
Wire,Pink Flag,2006,US,"Vinyl, LP, Album, Reissue, Stereo",4 Men With Beards – 4M508,24.00,14,Recently Edited
The Vibrators,Judy Says (Knock You In The Head),1978,UK,"Vinyl, 7"", 45 RPM, Single","Epic – S EPC 6393, Epic – EPC6393",10.81,17,Recently Edited
The Scabs (2),The Scabs e.p,2016,Canada,"Vinyl, 7"", 45 RPM, EP, Reissue",Hosehead Records – HHRE002,16.88,5,
Formaldehyde Junkies,...Are A Total Wreck,2005,US,"Vinyl, 7"", 45 RPM","Firestarter Records – FR09, Underestimated Records – UER-34",19.96,1,New Submission
GG Allin & The Jabbers,From The Vaults: Dead Or Alive - Occupation - Gimme Some Head - UNH Interview,2019,US,"Vinyl, 7"", 33 ⅓ RPM, Limited Edition, Numbered, Remastered, Stereo",Blood Orange Records – BOR1980-02,10.00,6,New Submission
The Plain Dealers,Get What You Get...,2013,US,"Vinyl, 12"", 45 RPM",Public Square Records – PSR-003,,,
Jonathan Richman / The Modern Lovers,Roadrunner,1977,UK,"Vinyl, 7"", 45 RPM, Single Company Sleeve",Beserkley – BZZ1,1.93,63,Recently Edited
Teenage Head,Let's Shake (New Version) b/w I Wanna Love You (Live Version),1980,Canada,"Vinyl, 7"", 45 RPM, Single",Attic – AT 229,3.45,15,New Submission
Knifedance,Who Then Is Sane,1988,US,"Vinyl, 12"", 45 RPM",Hit & Run Records (2) – none,3.44,14,Recently Edited
Black Flag,TV Party,1982,US,"Vinyl, 7"", 45 RPM, Single, Promo, Stereo","Unicorn Records – UNIC-95006, SST Records – UNIC-95006",108.09,4,
Hubble Bubble,New Promotion,2018,Belgium,"Vinyl, 7"", 45 RPM, Single, Reissue",Belgian Waffles – BW 009,22.99,2,
The Last Words,Animal World,1979,UK,"Vinyl, 7"" West Drayton Press","Rough Trade – RT 022, Wizard (14) – RT 022",20.27,13,New Submission
Chainsaw,See Saw,2015,Germany,"Vinyl, 7"", Single, Limited Edition, Reissue, Remastered White",No Good Records (3) – NO-003,,,New Submission
Gasoline*,Killer Man / Radio Flic,2012,US,"Vinyl, 7"", Reissue, Unofficial Release, White Label",Egg (7) – 62.331,40.22,3,New Submission
The Bleach Boys (4),Stocking-Clad Nazi Death Squad Bitches,1988,UK,"Vinyl, 12"", 45 RPM, Single",Zombie International – Zombo 103010,122.96,1,Recently Edited
The Maggots,Tammy Wynette,2006,US,"Vinyl, 7"", EP, Limited Edition, Reissue, 33 ⅓ RPM Clear",Discourage Records – DRR-002,,,Recently Edited
The Fingers (2),The First Time / Barracuda,1991,US,"Vinyl, 7"", Single Sided",Pre-B.S. Records – none,12.49,4,New Submission
Harry J. All Stars,Liquidator,2015,UK,"Vinyl, LP, Album, Reissue",Harry J Records – TBL 1002,40.23,5,New Submission
John Holt / John Holt & Soundemension*,Fancey Make-Up / Fancey Make Up Version,,Jamaica,"Vinyl, 7"", 45 RPM",Studio One – SO 017684,5.25,2,Recently Edited
Vanilla Muffins,Sugar Oi! Come On!,2000,USA & Europe,"Vinyl, 7"", 45 RPM, EP",DSS Records – DSS021,39.99,1,Recently Edited
Slade,Give Us A Goal,1978,Germany,"Vinyl, 7"", 45 RPM, Single",Barn Records Ltd – 2014 121,4.14,20,Recently Edited
The Wasps,Teenage Treats,1977,UK,"Vinyl, 7"", 45 RPM, Single",4 Play Records (2) – FOUR 001,35.71,17,New Submission
John Holt / Sound Dimension,Fancy Make Up / Part Two,1971,Jamaica,"Vinyl, 7"", 45 RPM",Studio One – SO 3204,5.40,3,Recently Edited
Jerry's Kids,Is This My World?,2002,Belgium,"Vinyl, LP, Album, Reissue",Reflex Records (19) – Reflex 03,17.24,5,
The Negatives (3),Stake Out,2014,Spain,"Vinyl, 7"", Reissue",Paramecium Records – PAR-011,41.37,1,New Submission
Various,Give Us A Goal - Official Hooligan Compilation Euro '96,,,"Vinyl, LP, Compilation, Unofficial Release",More Violence Records – MVR LP 001,20.92,3,Recently Edited
Sham 69,Hurry Up Harry / No Entry,1978,UK,"Vinyl, 7"", 45 RPM, Single Band Logo On Silver Injection Labels, Small Hole","Polydor – POSP 7, Polydor – 2059 065",2.64,64,Recently Edited
Angelic Upstarts,Never 'Ad Nothin',1979,UK,"Vinyl, 7"", 45 RPM, Single, Stereo",Warner Bros. Records – K 17476,4.04,45,Recently Edited
Suburban Studs,I Hate School,1978,UK,"Vinyl, 7"", 45 RPM, Single",Pogo (2) – POG 002,3.09,20,
Spizzenergi,Soldier Soldier,1979,UK,"Vinyl, 7"", 45 RPM, Single",Rough Trade – RTSO · 3,4.05,15,New Submission
No Fun,Fall For A Cliche,1978,Canada,"Vinyl, 7"", 33 ⅓ RPM, EP",Werewolf T-Shirts Records – WTSF 1,17.00,5,New Submission
The Boleyn Boys,West Ham United,1973,UK,"Vinyl, 7"", 45 RPM, Single, Stereo",Pye Records – 7N 45277,10.81,1,New Submission
Nervous Eaters,Just Head,2015,Spain,"Vinyl, 7"", 45 RPM, Single, Reissue, Stereo",Penniman Records – PENN45004,6.92,19,Recently Edited
Front Page (3),Qualified,1981,Norway,"Vinyl, LP, Album",Mellow Madness – MMLP 2003,40.23,6,New Submission
G.U.N. (2),G.U.N.,2019,US,"Cassette, EP",SikFuk Records – none,,,New Submission
The Now (4),Into The 80's,2000,Germany,"Vinyl, 7"", Reissue, Test Pressing, White Label",Last Year's Youth Records – LAST 1 - 2000,,,New Submission
The Ejected,A Touch Of Class,1996,UK,"Vinyl, LP, Album, Reissue Red",Captain Oi! – AHOY LP 24,31.52,2,New Submission
